Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
44,0.676998794,-0.122830138,-0.673655093,-0.269766986,-24.701574326,36.819519043,-2665.033691406,0.148982257,-0.179513305,-0.581889749,0.743336916,-0.276820391,59.484500885,-86.780845642,-2688.118164063,0.095593773,-0.190511793,0.061286580,0.970286310,-0.135991469,123.799179077,37.106357574,-2650.742919922,0.244623795,0.009072477,-0.676032722,0.728928566,-0.107520171,96.972465515,126.595756531,-2704.393066406,0.179039881,
45,0.676972866,-0.122738600,-0.673681974,-0.269806623,-24.705112457,36.816608429,-2665.032958984,0.151417404,-0.179670632,-0.581896544,0.743305922,-0.276787251,59.484657288,-86.780731201,-2688.118896484,0.095472343,-0.190378398,0.061301820,0.970301569,-0.136062622,123.798233032,37.108680725,-2650.744873047,0.245677873,0.009063306,-0.676010191,0.728936136,-0.107611388,96.972373962,126.596374512,-2704.393066406,0.178636581,
46,0.676978111,-0.122701935,-0.673683763,-0.269805580,-24.711620331,36.814556122,-2665.025634766,0.152180761,-0.179483011,-0.581910908,0.743362367,-0.276727170,59.482872009,-86.780990601,-2688.115722656,0.096889861,-0.190423369,0.061292950,0.970301747,-0.136002198,123.797187805,37.110054016,-2650.745117188,0.245602489,0.008925484,-0.676025689,0.728938639,-0.107508421,96.972648621,126.596565247,-2704.392333984,0.178613991,
47,0.676954925,-0.122666754,-0.673708200,-0.269818783,-24.715164185,36.813636780,-2665.019531250,0.152395502,-0.179473013,-0.581890762,0.743342578,-0.276829183,59.486289978,-86.779853821,-2688.114990234,0.095681623,-0.190370589,0.061287079,0.970306218,-0.136046976,123.797904968,37.112434387,-2650.740478516,0.246025100,0.008961622,-0.676004350,0.728921115,-0.107758321,96.973571777,126.597648621,-2704.387695313,0.177911028,
48,0.676875055,-0.122573517,-0.673784792,-0.269870281,-24.726840973,36.809135437,-2665.025878906,0.156842977,-0.179361641,-0.581889391,0.743359625,-0.276858479,59.482231140,-86.779037476,-2688.113281250,0.094843097,-0.190542698,0.061287079,0.970248759,-0.136215687,123.792846680,37.114852905,-2650.737060547,0.243293568,0.009024270,-0.675978839,0.728936672,-0.107807472,96.972969055,126.598495483,-2704.392333984,0.178042963,
49,0.676794827,-0.122392572,-0.673837841,-0.270021081,-24.730619431,36.806709290,-2665.016845703,0.158093140,-0.179464057,-0.581880271,0.743355453,-0.276822358,59.484500885,-86.778518677,-2688.113037109,0.095784970,-0.190604806,0.061264109,0.970257640,-0.136075824,123.790077209,37.118232727,-2650.729248047,0.243903518,0.008944468,-0.675991952,0.728953838,-0.107615694,96.970779419,126.598205566,-2704.394775391,0.177336305,
50,0.676711023,-0.122250602,-0.673900664,-0.270138562,-24.738353729,36.808212280,-2665.006835938,0.146906316,-0.179559901,-0.581884503,0.743352413,-0.276759624,59.481719971,-86.778396606,-2688.113769531,0.096146092,-0.190551132,0.061299406,0.970283747,-0.135948867,123.789695740,37.120746613,-2650.729980469,0.244464979,0.008911138,-0.676011324,0.728905618,-0.107823312,96.974281311,126.597991943,-2704.395019531,0.177135020,
51,0.676618814,-0.122128248,-0.673985839,-0.270212412,-24.740354538,36.809837341,-2665.022460938,0.148151815,-0.179615006,-0.581872404,0.743332028,-0.276804149,59.479808807,-86.778526306,-2688.113769531,0.094866194,-0.190448716,0.061272085,0.970290780,-0.136054233,123.787040710,37.120803833,-2650.730712891,0.244456708,0.008676140,-0.675977528,0.728916287,-0.107982233,96.969108582,126.596961975,-2704.390869141,0.177186310,
52,0.676559448,-0.122044586,-0.674054682,-0.270227194,-24.743278503,36.806526184,-2665.034179688,0.152070850,-0.179513291,-0.581876397,0.743336260,-0.276850104,59.482177734,-86.780220032,-2688.119140625,0.095422737,-0.190601781,0.061281126,0.970239341,-0.136202797,123.789802551,37.119625092,-2650.729248047,0.243511736,0.008930496,-0.675993681,0.728904128,-0.107942402,96.972526550,126.596008301,-2704.391601563,0.176892549,
53,0.676554978,-0.121910274,-0.674043298,-0.270327359,-24.752496719,36.803329468,-2665.022216797,0.149749845,-0.179337621,-0.581938863,0.743392348,-0.276682138,59.481613159,-86.781242371,-2688.115966797,0.096897714,-0.190478936,0.061264299,0.970261931,-0.136221454,123.789520264,37.119827271,-2650.731933594,0.244259760,0.009139713,-0.676002979,0.728903651,-0.107870087,96.971496582,126.595222473,-2704.393310547,0.177254438,
