Number of frames: 100
Frequency: 100
Units: mm

Frame,Isabelle Biomech 4 LED Stylus Calibrati q0,Isabelle Biomech 4 LED Stylus Calibrati qx,Isabelle Biomech 4 LED Stylus Calibrati qy,Isabelle Biomech 4 LED Stylus Calibrati qz,Isabelle Biomech 4 LED Stylus Calibrati x,Isabelle Biomech 4 LED Stylus Calibrati y,Isabelle Biomech 4 LED Stylus Calibrati z,Isabelle Biomech 4 LED Stylus Calibrati Error,Tibia q0,Tibia qx,Tibia qy,Tibia qz,Tibia x,Tibia y,Tibia z,Tibia Error,Patella q0,Patella qx,Patella qy,Patella qz,Patella x,Patella y,Patella z,Patella Error,Femur q0,Femur qx,Femur qy,Femur qz,Femur x,Femur y,Femur z,Femur Error
36,-0.504914045,0.170245841,0.797239006,0.283704191,35.674568176,32.549152374,-2682.180419922,0.176516458,-0.178632781,-0.580882668,0.744012356,-0.277689159,59.230335236,-86.909202576,-2688.044921875,0.091808245,-0.189817652,0.063324921,0.970272422,-0.136127397,123.657814026,36.832881927,-2650.687011719,0.243428051,0.009177855,-0.675947487,0.728988111,-0.107643232,96.956634521,126.607025146,-2704.461914063,0.177834317,
37,-0.504862666,0.170187727,0.797257245,0.283779293,35.696170807,32.541622162,-2682.199707031,0.173991457,-0.178553268,-0.580839217,0.744010329,-0.277836770,59.238128662,-86.910049438,-2688.039306641,0.090238690,-0.189841926,0.063278213,0.970283031,-0.136039689,123.666854858,36.828964233,-2650.691894531,0.243885905,0.009393089,-0.675934315,0.728995860,-0.107655004,96.960990906,126.606323242,-2704.464111328,0.177817404,
38,-0.504826844,0.170109317,0.797243059,0.283929914,35.695453644,32.544242859,-2682.204101563,0.174281344,-0.178477913,-0.580955565,0.744039714,-0.277562886,59.234359741,-86.911476135,-2688.041992188,0.092944138,-0.189833030,0.063299321,0.970265567,-0.136166736,123.665039063,36.827236176,-2650.690673828,0.244009361,0.009540003,-0.675930798,0.728989899,-0.107704565,96.959579468,126.605186462,-2704.467773438,0.177869111,
39,-0.504949093,0.170022950,0.797131419,0.284077644,35.674827576,32.542789459,-2682.157958984,0.172802150,-0.178614378,-0.580925286,0.743983984,-0.277687758,59.232036591,-86.911872864,-2688.046630859,0.090467937,-0.189782888,0.063288048,0.970257580,-0.136298433,123.663681030,36.825820923,-2650.695312500,0.244184002,0.009300887,-0.675939798,0.728983819,-0.107710168,96.954803467,126.604331970,-2704.465576172,0.177556232,
40,-0.504828572,0.169997007,0.797159731,0.284227908,35.684108734,32.545757294,-2682.179931641,0.175050810,-0.178762674,-0.580922604,0.744005203,-0.277541101,59.226570129,-86.911262512,-2688.048095703,0.092038803,-0.190183505,0.063270234,0.970201790,-0.136145517,123.660972595,36.824668884,-2650.698974609,0.241892174,0.009121330,-0.675905287,0.728984475,-0.107937500,96.954261780,126.605262756,-2704.468750000,0.176117450,
41,-0.504772604,0.169925719,0.797136486,0.284435213,35.695877075,32.547924042,-2682.170166016,0.168394729,-0.178634271,-0.580914795,0.744058371,-0.277497709,59.234554291,-86.910163879,-2688.044921875,0.092175253,-0.190146714,0.063273013,0.970208466,-0.136148214,123.662345886,36.826709747,-2650.691894531,0.241845191,0.009178063,-0.675917447,0.729019880,-0.107616559,96.956199646,126.606719971,-2704.467773438,0.177580103,
42,-0.504608929,0.169835389,0.797169685,0.284686297,35.696899414,32.549358368,-2682.180419922,0.171226144,-0.178494155,-0.580893397,0.744062722,-0.277620792,59.231708527,-86.908905029,-2688.044433594,0.092402779,-0.189603984,0.063347310,0.970295429,-0.136250675,123.661224365,36.829685211,-2650.687255859,0.245011941,0.009145433,-0.675963819,0.729002178,-0.107447863,96.958404541,126.608085632,-2704.461914063,0.178641081,
43,-0.504427016,0.169730112,0.797206521,0.284967989,35.710338593,32.556190491,-2682.187744141,0.170461282,-0.178518027,-0.580911875,0.744071901,-0.277542204,59.232246399,-86.908149719,-2688.043701172,0.091467373,-0.189584136,0.063315839,0.970311463,-0.136178583,123.655990601,36.832038879,-2650.686279297,0.245133936,0.009269486,-0.675927877,0.728991270,-0.107736938,96.954734802,126.607917786,-2704.460205078,0.178286165,
44,-0.504314721,0.169867337,0.797213793,0.285064787,35.705966949,32.556247711,-2682.197021484,0.168126747,-0.178504765,-0.580909312,0.744024754,-0.277682632,59.225986481,-86.906883240,-2688.045654297,0.091593750,-0.189803019,0.063304357,0.970284879,-0.136068657,123.651023865,36.833385468,-2650.685546875,0.244091138,0.009110880,-0.675925434,0.729021668,-0.107560419,96.954223633,126.609176636,-2704.463867188,0.178679734,
45,-0.504265964,0.169951692,0.797176063,0.285206139,35.708892822,32.555896759,-2682.178222656,0.164414346,-0.178489551,-0.580913007,0.744072735,-0.277556032,59.229793549,-86.905899048,-2688.047363281,0.092235848,-0.189814493,0.063276008,0.970248997,-0.136321306,123.654022217,36.833499908,-2650.688964844,0.242397606,0.008945049,-0.675940335,0.729003072,-0.107606359,96.952537537,126.609443665,-2704.461669922,0.178555131,
46,-0.504145741,0.170090660,0.797182858,0.285316885,35.709735870,32.550792694,-2682.190185547,0.158962548,-0.178536713,-0.580880582,0.744058907,-0.277630597,59.229301453,-86.905723572,-2688.044677734,0.093015350,-0.190100774,0.063287698,0.970187604,-0.136353955,123.658584595,36.833011627,-2650.687011719,0.240700722,0.009168268,-0.675966561,0.728980303,-0.107577153,96.957824707,126.609901428,-2704.458251953,0.179274291,
47,-0.504062414,0.169957638,0.797158778,0.285610497,35.694717407,32.554584503,-2682.144531250,0.164934367,-0.178612947,-0.580867589,0.744031072,-0.277683318,59.230949402,-86.906867981,-2688.047119141,0.091634966,-0.190075979,0.063286789,0.970194757,-0.136338070,123.655181885,36.833003998,-2650.683837891,0.241746888,0.009074343,-0.675970256,0.728993297,-0.107473858,96.953178406,126.608772278,-2704.457275391,0.178487882,
48,-0.503935516,0.169957355,0.797190189,0.285746872,35.676635742,32.547859192,-2682.129394531,0.165870100,-0.178491831,-0.580883265,0.744070232,-0.277623475,59.229785919,-86.908569336,-2688.048339844,0.091861978,-0.189911261,0.063347392,0.970224679,-0.136326283,123.649772644,36.835784912,-2650.679687500,0.242384225,0.009067559,-0.675950110,0.729000211,-0.107554272,96.954811096,126.607078552,-2704.463867188,0.178564966,
49,-0.503597558,0.170058578,0.797372401,0.285774112,35.697498322,32.539268494,-2682.183349609,0.163076103,-0.178474560,-0.580920339,0.744077623,-0.277537256,59.230800629,-86.910423279,-2688.044433594,0.092543036,-0.189493537,0.063341536,0.970341861,-0.136076108,123.644317627,36.837936401,-2650.672363281,0.246052206,0.009058422,-0.675955474,0.729002595,-0.107505314,96.953041077,126.604949951,-2704.461669922,0.178403258,
